country,wave,year,n_respondents,index_all_ym,index_imf_ym,index_idawb_ym,index_unsc_ym,index_all_y,index_imf_y,index_idawb_y,index_unsc_y
HKG,7.0,2018.0,2075,0.010031217340933169,0.056770824294344754,0.03125240598982059,-0.036319954740634146,-0.012760298883070505,0.03759274245058049,-0.009871358829734446,-0.03537560630394318
HRV,3.0,1996.0,1194,0.11634421732130378,0.19514096972295814,0.16285992343796768,-0.017122799375965097,0.1656824302065101,0.27018149983784884,0.298893967716214,-0.08302078660241471
HTI,6.0,2016.0,1987,-0.32259652753685675,-0.09794752602743848,-0.21601407444773618,-0.6855984128656039,-0.35476081754660266,0.5131469573992758,-0.4154884966422158,-0.8404057102375314
HUN,1.0,1982.0,1436,0.276547529846041,0.08826925208300421,,0.3842527024957726,0.2824148073607555,0.08826925208300421,,0.4765603626385069
HUN,3.0,1998.0,650,0.06353619471073742,0.08899205556509591,0.0512315031151159,0.056851338319396136,0.09584942436907612,0.2078394559026144,0.002852019931424615,0.11916614123640394
HUN,5.0,2009.0,1007,-0.03102866006018536,-0.04368745864853913,0.0060182679035530075,-0.11644441372581882,-0.03627919890062596,0.15309260902997315,-0.06397724089673118,-0.10588830021084254
IDN,4.0,2001.0,1000,-0.015182259649594947,0.10983035050092413,-0.05653318884780027,-0.026251136045320037,-0.018296286551557874,0.10983035050092413,-0.07472988754803891,-0.0331987004098054
IDN,5.0,2006.0,2010,0.040000427650521496,0.16094862839928262,-0.023270649991378258,0.0855674694383662,0.06015066768158335,0.13411804316451656,0.008882483118993317,0.0850866782050979
IDN,7.0,2018.0,3200,0.0572620174190864,0.15343120582808198,-0.00890581686181082,0.06549807065663747,0.08136241520861028,0.1952760510789094,0.07038207163415551,0.024421294867642086
IND,2.0,1990.0,2500,0.05921554464095391,-0.04165590931444528,-0.0564488645492302,0.22440358868343696,0.033133135242917895,-0.05378368156282612,0.03633205277792511,0.09704823511517874
IND,3.0,1995.0,2035,-0.011364351024427177,-0.022018455977919717,-0.1038284603605922,0.14485427478503757,-0.07749239580363407,0.07431211726922536,-0.21413504555599347,0.028885123148322436
IND,4.0,2001.0,1967,-0.0876205407429052,-0.12436156540289517,-0.14838074864449705,0.0043775826012097925,-0.16531319065246042,-0.15431716130966935,-0.16803656154078883,-0.1408755445906648
IND,5.0,2006.0,1977,-0.09352841578972985,-0.12021533269759933,-0.09652822623436932,-0.08038242747301881,-0.15130874701372185,-0.18311940347919847,-0.08198832096520339,-0.2733191927645249
IND,6.0,2012.0,4077,0.02169704176177773,0.07026228914730925,-0.06535298200941266,0.19845641028371636,-0.013238652644080577,-0.08877352070278288,-0.07280969518079548,0.24558377969401593
IND,7.0,2023.0,1692,0.033975495732952145,-0.017599584320295642,0.06176102212366596,0.010522004500697244,0.011174928816478549,-0.13387388544185388,0.1049727997921991,-0.05122329797954623
IRN,4.0,2000.0,2532,-0.03799179326417114,-0.04820061621337021,-0.06255033954721298,-0.02125477466292267,-0.054896875911418695,-0.048200616213370205,-0.11655835357705285,-0.021254774662922672
IRN,5.0,2007.0,2667,-0.07355153812853323,-0.005925428692015141,-0.1422598487124624,0.030886381332036913,-0.07100951825535393,0.03504943179137826,-0.1514605894286544,0.03725080292077005
IRN,7.0,2020.0,1499,0.006377682612284153,-0.1148117794350993,0.02486623538321573,0.03430247341695742,-0.031218724787537143,-0.1753573413956306,0.02122441377206987,-0.035426027125825287
IRQ,4.0,2004.0,2325,-0.22752952800180581,-0.47217334519925336,-0.11491250984721008,-0.44389340184966347,-0.22258511453763535,-0.47217334519925336,-0.16068707841884466,-0.3537568193834059
IRQ,5.0,2006.0,2699,-0.17510082361561857,-0.2952555454475268,-0.06594445916457904,-0.46050500781477494,-0.18923346611892955,-0.2952555454475268,-0.11779035512023213,-0.44951260002180093
